loop,domain,checks,status,detail
5105,k5_help_wiki,11,PASS,Wiki-Topic ok
5106,k6_text_quality,197,PASS,de: 40 Werte sauber
5107,k7_update_path,6,PASS,Update-Pfad ok
5108,k8_key_discipline,62,PASS,Schluesseldisziplin ok
5109,k9_dialog_invariants,3,PASS,shortcuts_dialog.py: Invarianten ok
5110,k10_regression_shield,14,PASS,Regressionsschild intakt
5111,k1_first_run_path,11,PASS,Erststartpfad ok
5112,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
5113,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
5114,k4_guide_coverage,10,PASS,en-Guide deckt Kernfunktionen
5115,k5_help_wiki,11,PASS,Wiki-Topic ok
5116,k6_text_quality,197,PASS,en: 40 Werte sauber
5117,k7_update_path,6,PASS,Update-Pfad ok
5118,k8_key_discipline,68,PASS,Schluesseldisziplin ok
5119,k9_dialog_invariants,3,PASS,special_income_dialog.py: Invarianten ok
5120,k10_regression_shield,14,PASS,Regressionsschild intakt
5121,k1_first_run_path,11,PASS,Erststartpfad ok
5122,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
5123,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
5124,k4_guide_coverage,10,PASS,fr-Guide deckt Kernfunktionen
5125,k5_help_wiki,11,PASS,Wiki-Topic ok
5126,k6_text_quality,200,PASS,fr: 40 Werte sauber
5127,k7_update_path,6,PASS,Update-Pfad ok
5128,k8_key_discipline,62,PASS,Schluesseldisziplin ok
5129,k9_dialog_invariants,3,PASS,startup_wizard.py: Invarianten ok
5130,k10_regression_shield,14,PASS,Regressionsschild intakt
5131,k1_first_run_path,11,PASS,Erststartpfad ok
5132,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
5133,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
5134,k4_guide_coverage,10,PASS,de-Guide deckt Kernfunktionen
5135,k5_help_wiki,11,PASS,Wiki-Topic ok
5136,k6_text_quality,200,PASS,de: 40 Werte sauber
5137,k7_update_path,6,PASS,Update-Pfad ok
5138,k8_key_discipline,61,PASS,Schluesseldisziplin ok
5139,k9_dialog_invariants,3,PASS,tags_manager_dialog.py: Invarianten ok
5140,k10_regression_shield,14,PASS,Regressionsschild intakt
5141,k1_first_run_path,11,PASS,Erststartpfad ok
5142,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
5143,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
5144,k4_guide_coverage,10,PASS,en-Guide deckt Kernfunktionen
5145,k5_help_wiki,11,PASS,Wiki-Topic ok
5146,k6_text_quality,200,PASS,en: 40 Werte sauber
5147,k7_update_path,6,PASS,Update-Pfad ok
5148,k8_key_discipline,60,PASS,Schluesseldisziplin ok
5149,k9_dialog_invariants,3,PASS,theme_editor_dialog.py: Invarianten ok
5150,k10_regression_shield,14,PASS,Regressionsschild intakt
5151,k1_first_run_path,11,PASS,Erststartpfad ok
