loop,domain,checks,result
630,d10_enter_defaults,1,PASS
631,d1_destructive,8,PASS
632,d2_a11y_i18n,1,PASS
633,d3_filter_hygiene,1,PASS
634,d4_focus_rules,1,PASS
635,d5_cockpit_presets,6,PASS
636,d6_placeholders,17,PASS
637,d7_refs,3,PASS
638,d8_scaling,1,PASS
639,d9_icon_buttons,1,PASS
640,d10_enter_defaults,1,PASS
641,d1_destructive,8,PASS
642,d2_a11y_i18n,1,PASS
643,d3_filter_hygiene,1,PASS
644,d4_focus_rules,1,PASS
645,d5_cockpit_presets,6,PASS
646,d6_placeholders,17,PASS
647,d7_refs,0,PASS
648,d8_scaling,1,PASS
649,d9_icon_buttons,1,PASS
650,d10_enter_defaults,1,PASS
651,d1_destructive,8,PASS
652,d2_a11y_i18n,1,PASS
653,d3_filter_hygiene,1,PASS
654,d4_focus_rules,1,PASS
655,d5_cockpit_presets,6,PASS
656,d6_placeholders,17,PASS
657,d7_refs,36,PASS
658,d8_scaling,1,PASS
659,d9_icon_buttons,1,PASS
660,d10_enter_defaults,1,PASS
661,d1_destructive,8,PASS
662,d2_a11y_i18n,1,PASS
663,d3_filter_hygiene,1,PASS
664,d4_focus_rules,1,PASS
665,d5_cockpit_presets,6,PASS
666,d6_placeholders,17,PASS
667,d7_refs,402,PASS
668,d8_scaling,1,PASS
669,d9_icon_buttons,1,PASS
670,d10_enter_defaults,2,PASS
671,d1_destructive,8,PASS
672,d2_a11y_i18n,1,PASS
673,d3_filter_hygiene,1,PASS
674,d4_focus_rules,1,PASS
675,d5_cockpit_presets,6,PASS
676,d6_placeholders,17,PASS
677,d7_refs,75,PASS
678,d8_scaling,1,PASS
679,d9_icon_buttons,1,PASS
680,d10_enter_defaults,1,PASS
681,d1_destructive,8,PASS
682,d2_a11y_i18n,1,PASS
683,d3_filter_hygiene,1,PASS
684,d4_focus_rules,1,PASS
685,d5_cockpit_presets,6,PASS
686,d6_placeholders,17,PASS
687,d7_refs,69,PASS
688,d8_scaling,1,PASS
689,d9_icon_buttons,1,PASS
690,d10_enter_defaults,2,PASS
691,d1_destructive,8,PASS
692,d2_a11y_i18n,1,PASS
693,d3_filter_hygiene,1,PASS
694,d4_focus_rules,1,PASS
695,d5_cockpit_presets,6,PASS
696,d6_placeholders,17,PASS
697,d7_refs,165,PASS
698,d8_scaling,1,PASS
699,d9_icon_buttons,1,PASS
700,d10_enter_defaults,1,PASS
701,d1_destructive,8,PASS
702,d2_a11y_i18n,1,PASS
703,d3_filter_hygiene,1,PASS
704,d4_focus_rules,1,PASS
705,d5_cockpit_presets,6,PASS
706,d6_placeholders,17,PASS
707,d7_refs,237,PASS
708,d8_scaling,1,PASS
709,d9_icon_buttons,1,PASS
710,d10_enter_defaults,1,PASS
711,d1_destructive,8,PASS
712,d2_a11y_i18n,1,PASS
713,d3_filter_hygiene,1,PASS
714,d4_focus_rules,1,PASS
715,d5_cockpit_presets,6,PASS
716,d6_placeholders,16,PASS
717,d7_refs,27,PASS
718,d8_scaling,1,PASS
719,d9_icon_buttons,1,PASS
720,d10_enter_defaults,1,PASS
721,d1_destructive,8,PASS
722,d2_a11y_i18n,1,PASS
723,d3_filter_hygiene,1,PASS
724,d4_focus_rules,1,PASS
725,d5_cockpit_presets,6,PASS
726,d6_placeholders,16,PASS
727,d7_refs,84,PASS
728,d8_scaling,1,PASS
729,d9_icon_buttons,1,PASS
730,d10_enter_defaults,1,PASS
731,d1_destructive,8,PASS
732,d2_a11y_i18n,1,PASS
733,d3_filter_hygiene,1,PASS
734,d4_focus_rules,1,PASS
735,d5_cockpit_presets,6,PASS
736,d6_placeholders,16,PASS
737,d7_refs,252,PASS
738,d8_scaling,1,PASS
739,d9_icon_buttons,1,PASS
740,d10_enter_defaults,3,PASS
741,d1_destructive,8,PASS
742,d2_a11y_i18n,1,PASS
743,d3_filter_hygiene,1,PASS
744,d4_focus_rules,1,PASS
745,d5_cockpit_presets,6,PASS
746,d6_placeholders,16,PASS
747,d7_refs,81,PASS
748,d8_scaling,1,PASS
749,d9_icon_buttons,1,PASS
750,d10_enter_defaults,1,PASS
751,d1_destructive,8,PASS
752,d2_a11y_i18n,1,PASS
753,d3_filter_hygiene,1,PASS
754,d4_focus_rules,1,PASS
755,d5_cockpit_presets,6,PASS
756,d6_placeholders,16,PASS
757,d7_refs,612,PASS
758,d8_scaling,1,PASS
759,d9_icon_buttons,1,PASS
760,d10_enter_defaults,1,PASS
761,d1_destructive,8,PASS
762,d2_a11y_i18n,1,PASS
763,d3_filter_hygiene,1,PASS
764,d4_focus_rules,1,PASS
765,d5_cockpit_presets,6,PASS
766,d6_placeholders,16,PASS
